timestamp, index, power.draw [W]
2026/09/08 05:37:08.310, 0, 27.49 W
2026/09/08 05:37:08.410, 0, 27.49 W
2026/09/08 05:37:08.510, 0, 27.49 W
2026/09/08 05:37:08.610, 0, 27.49 W
2026/09/08 05:37:08.710, 0, 27.49 W
2026/09/08 05:37:08.810, 0, 27.49 W
2026/09/08 05:37:08.910, 0, 27.49 W
2026/09/08 05:37:09.011, 0, 27.49 W
2026/09/08 05:37:09.111, 0, 27.49 W
2026/09/08 05:37:09.211, 0, 25.94 W
2026/09/08 05:37:09.311, 0, 25.94 W
2026/09/08 05:37:09.411, 0, 25.94 W
2026/09/08 05:37:09.511, 0, 25.94 W
2026/09/08 05:37:09.611, 0, 25.94 W
2026/09/08 05:37:09.712, 0, 25.94 W
2026/09/08 05:37:09.812, 0, 25.94 W
2026/09/08 05:37:09.912, 0, 25.94 W
2026/09/08 05:37:10.012, 0, 25.94 W
2026/09/08 05:37:10.112, 0, 25.94 W
2026/09/08 05:37:10.212, 0, 25.34 W
2026/09/08 05:37:10.312, 0, 25.34 W
2026/09/08 05:37:10.413, 0, 25.34 W
2026/09/08 05:37:10.513, 0, 25.34 W
2026/09/08 05:37:10.613, 0, 25.34 W
2026/09/08 05:37:10.713, 0, 25.34 W
2026/09/08 05:37:10.813, 0, 25.34 W
2026/09/08 05:37:10.913, 0, 25.34 W
2026/09/08 05:37:11.102, 0, 25.34 W
2026/09/08 05:37:11.202, 0, 25.34 W
2026/09/08 05:37:11.302, 0, 25.13 W
2026/09/08 05:37:11.402, 0, 25.13 W
2026/09/08 05:37:11.502, 0, 25.13 W
2026/09/08 05:37:11.602, 0, 25.13 W
2026/09/08 05:37:11.703, 0, 25.13 W
2026/09/08 05:37:11.803, 0, 26.35 W
2026/09/08 05:37:11.903, 0, 26.35 W
2026/09/08 05:37:12.003, 0, 26.35 W
2026/09/08 05:37:12.103, 0, 26.35 W
2026/09/08 05:37:12.203, 0, 26.35 W
2026/09/08 05:37:12.303, 0, 38.97 W
2026/09/08 05:37:12.403, 0, 38.97 W
2026/09/08 05:37:12.503, 0, 38.97 W
2026/09/08 05:37:12.604, 0, 38.97 W
2026/09/08 05:37:12.704, 0, 38.97 W
2026/09/08 05:37:12.804, 0, 78.21 W
2026/09/08 05:37:12.904, 0, 78.21 W
2026/09/08 05:37:13.004, 0, 78.21 W
2026/09/08 05:37:13.104, 0, 78.21 W
2026/09/08 05:37:13.204, 0, 78.21 W
2026/09/08 05:37:13.304, 0, 88.83 W
2026/09/08 05:37:13.405, 0, 88.83 W
2026/09/08 05:37:13.505, 0, 88.83 W
2026/09/08 05:37:13.605, 0, 88.83 W
2026/09/08 05:37:13.705, 0, 88.83 W
2026/09/08 05:37:13.805, 0, 88.89 W
